pattern,offset_0,offset_1,offset_2,offset_3,offset_4
NNNNN,165,170,171,156,166
NNNNP,179,179,178,168,207
NNNPN,183,166,185,199,196
NNNPP,247,211,206,248,249
NNPNN,175,187,191,175,166
NNPNP,226,223,216,230,241
NNPPN,255,215,235,231,244
NNPPP,317,313,276,272,326
NPNNN,178,190,213,205,169
NPNNP,215,231,211,212,229
NPNPN,227,217,196,197,224
NPNPP,291,297,308,290,279
NPPNN,235,275,221,196,231
NPPNP,288,308,281,326,279
NPPPN,301,328,300,298,277
NPPPP,482,471,516,464,479
PNNNN,184,179,153,217,178
PNNNP,198,212,269,277,223
PNNPN,227,241,220,208,205
PNNPP,281,300,297,322,323
PNPNN,246,237,226,223,227
PNPNP,288,281,271,273,277
PNPPN,328,287,287,279,279
PNPPP,482,503,486,484,457
PPNNN,213,232,281,196,213
PPNNP,326,286,319,316,279
PPNPN,291,280,300,307,310
PPNPP,499,476,455,446,531
PPPNN,283,325,291,296,308
PPPNP,469,447,472,515,511
PPPPN,471,435,511,521,475
PPPPP,1250,1297,1257,1252,1241
