pattern,mean_change,total_occurrences,min_change,max_change,change_std
PPPPP,182.19447999999997,6297,156.1913,189.9051,14.610456352284139
PPPNP,60.79639999999999,2414,48.1161,69.401,9.467392101312798
PPPPN,56.747699999999995,2413,38.5754,70.3856,12.141518960369002
NPPPP,62.04323999999999,2412,45.7311,71.9525,11.066355311845
PNPPP,58.817719999999994,2412,50.7193,65.784,5.816535736329661
PPNPP,60.89844000000001,2407,43.3305,72.7366,13.768816717423471
PPNNP,6.67864,1526,-5.3158,12.516,7.793629813058868
PNNPP,10.94898,1523,7.1383,14.1266,2.692367418648502
NPPPN,11.284180000000001,1504,6.2783,16.6749,4.122660142068469
NNPPP,10.719339999999999,1504,5.0934,19.4747,5.798749516749278
PPPNN,5.61372,1503,-2.7368,13.4584,6.353337481355764
PPNPN,10.520199999999999,1488,3.293,21.4552,6.775789373940133
NPPNP,9.65774,1482,7.0752,11.3983,1.6432926011517248
NPNPP,7.220000000000001,1465,4.4919,9.576,2.2024439493435466
PNPPN,8.564200000000001,1460,4.8717,11.4761,3.328240691416413
PNPNP,10.988040000000002,1390,0.9371,18.3574,6.335128670990036
NNPPN,-24.40276,1180,-28.2031,-19.9017,3.479673633834069
PNNNP,-25.28762,1179,-31.2407,-21.402,3.633452161099689
NNNPP,-23.19848,1161,-28.2474,-18.1109,3.698461110651293
PNPNN,-21.35578,1159,-23.8221,-15.6622,3.243549435726238
NPPNN,-23.1435,1158,-28.0072,-17.5663,4.734814644207312
NNPNP,-22.16806,1136,-24.884,-20.4628,1.7205881328778247
PPNNN,-25.96236,1135,-32.7889,-21.3091,4.738153441795653
PNNPN,-21.663919999999997,1101,-32.7813,-14.8856,7.142561463998753
NPNNP,-19.982779999999998,1098,-20.3334,-19.5547,0.2829758770637527
NPNPN,-17.306599999999996,1061,-23.0363,-14.4943,3.303731985951645
NPNNN,-48.680319999999995,955,-58.3405,-45.0312,5.685730595270936
NNNPN,-49.78648,929,-51.5303,-46.63,1.9880198344080955
NNNNP,-45.02914,911,-50.6083,-40.6335,3.8034608835901023
PNNNN,-46.74052,911,-57.6653,-38.695,6.991253343070898
NNPNN,-45.91946,894,-52.0074,-39.9232,5.308209777128255
NNNNN,-66.43524,828,-72.1213,-59.8399,4.454992838153617
