pattern,count,frequency_%,total_change,avg_change,std_dev,min_change,max_change,win_rate,return_risk_ratio,avg_volume
PPP,822,10.65,233.9558,0.2846,0.3131,0.0299,5.1000,100.00%,0.9091,284288
OPP,90,1.17,12.8388,0.1427,0.1167,0.0099,0.5500,100.00%,1.2224,189881
POP,91,1.18,11.7464,0.1291,0.1115,0.0200,0.5900,100.00%,1.1578,140940
PPO,91,1.18,10.2715,0.1129,0.0775,0.0200,0.4700,100.00%,1.4567,79011
NPP,879,11.39,82.7346,0.0941,0.2075,-0.9300,2.9000,76.00%,0.4537,289388
PNP,853,11.05,79.4876,0.0932,0.1990,-1.8700,2.8900,76.32%,0.4683,287449
PPN,793,10.28,72.3738,0.0913,0.1680,-0.7800,1.6419,76.67%,0.5433,250141
NOP,80,1.04,5.8261,0.0728,0.5002,-0.2199,4.4400,48.75%,0.1456,105708
POO,23,0.30,1.2960,0.0563,0.0467,0.0100,0.1900,100.00%,1.2058,59339
OPO,24,0.31,1.0800,0.0450,0.0363,0.0100,0.1499,100.00%,1.2406,51033
OOP,15,0.19,0.5802,0.0387,0.0324,0.0100,0.1200,100.00%,1.1932,34215
PNO,99,1.28,1.7073,0.0172,0.0770,-0.1800,0.3400,50.51%,0.2240,103582
ONP,69,0.89,1.0025,0.0145,0.1236,-0.3600,0.8000,44.93%,0.1175,81347
OPN,81,1.05,0.2617,0.0032,0.0791,-0.2400,0.2400,48.15%,0.0408,112641
OOO,12,0.16,-0.0001,-0.0000,0.0000,-0.0001,0.0000,0.00%,-0.3015,7429
PON,90,1.17,-0.1770,-0.0020,0.0921,-0.3700,0.2300,50.00%,-0.0214,175058
ONO,14,0.18,-0.3699,-0.0264,0.0229,-0.1000,-0.0099,0.00%,-1.1551,40224
NPO,98,1.27,-3.5029,-0.0357,0.2876,-2.7700,0.1500,36.73%,-0.1243,76772
NOO,13,0.17,-0.5039,-0.0388,0.0351,-0.1000,-0.0050,0.00%,-1.1031,38422
PNN,805,10.43,-71.3813,-0.0887,0.2213,-1.5200,3.6200,23.85%,-0.4006,254890
NNP,821,10.64,-72.9128,-0.0888,0.1728,-1.5900,1.0500,21.19%,-0.5138,269429
OON,18,0.23,-1.8564,-0.1031,0.2719,-1.2100,-0.0100,0.00%,-0.3794,111266
NPN,858,11.12,-94.6404,-0.1103,0.2272,-4.2100,0.6700,17.60%,-0.4854,256538
ONN,70,0.91,-8.4479,-0.1207,0.0787,-0.3800,-0.0099,0.00%,-1.5334,43096
NON,85,1.10,-10.8936,-0.1282,0.0938,-0.5000,-0.0105,0.00%,-1.3661,93544
NNO,75,0.97,-9.8458,-0.1313,0.1062,-0.5050,-0.0201,0.00%,-1.2367,161330
NNN,747,9.68,-215.1703,-0.2880,0.2863,-5.2200,-0.0300,0.00%,-1.0060,256777
